Year,pesticide_Value,Amphibia,,,,,,,,,
1990,400522.34,271.0369162,,,,,,,,,
1991,395079.01,284.1698378,,,,,,,,,
1992,401883.08,191.7571462,,,,,,,,,
1993,390543.09,356.5557197,,,,,,,,,
1994,425922.68,256.3260714,,,,,,,,,
1995,423201.53,239.8538103,,,,,,,,,
1996,433180.36,318.9328726,,,,,,,,,
1997,431819.21,289.165157,,,,,,,,,
1998,424562.11,258.5661897,,,,,,,,,
1999,433633.96,280.4626264,,,,,,,,,
2000,430005.21,368.6322021,,,,,,,,,
2001,411407.94,97.4961813,,,,,,,,,
2002,413313.03,189.6545924,,,,,,,,,
2003,407053.46,155.9207075,,,,,,,,,
2004,418030.39,152.9402484,,,,,,,,,
2005,409730.05,127.9120938,,,,,,,,,
2006,392810.67,46.4569759,,,,,,,,,
2007,400068.15,58.58079209,,,,,,,,,
2008,379202.92,30.89721047,,,,,,,,,
2009,358337.7,20.90833495,,,,,,,,,
2010,374818.2,36.57677091,,,,,,,,,
2011,391298.7,32.269178,,,,,,,,,
2012,407779.2,30.70036182,,,,,,,,,
2013,418673.92,39.26668958,,,,,,,,,
2014,413134.78,28.64475106,,,,,,,,,
2015,423474.93,19.63125,,,,,,,,,
2016,451666.83,16.23643125,,,,,,,,,
2017,449713.05,24.30218667,,,,,,,,,
2018,457385.42,15.52857143,,,,,,,,,
2019,495672.67,,,,,,,,,,
2020,474707.49,,,,,,,,,,
2021,433770.9,,,,,,,,,,
2022,467676.6,,,,,,,,,,
